id;query;logical_query;ratio_executed_to_possible_executions;len;time_forced;time_non_forced
0c963f24a31fc33aede62ec3181a0663ff5d06fc0708aef75c1763244bce379c;SELECT count(*) FROM [order] as ord JOIN deliverer as del ON del.id = ord.deliverer_id JOIN order_details as ord_det ON ord_det.order_id = ord.id JOIN product as prod ON prod.id = ord_det.product_id JOIN discount as dis ON dis.id = ord.discount_id;('deliverer', 'discount', 'order', 'order_details', 'product');1.0;5;8.624828100204468;4.265693664550781
8dc3ec9f24e4daa567ee46a889db0f391293e399bb06e0442d0f5c3998d500aa;SELECT count(*) FROM [order] as ord JOIN discount as dis ON dis.id = ord.discount_id JOIN deliverer as del ON del.id = ord.deliverer_id JOIN order_details as ord_det ON ord_det.order_id = ord.id JOIN product as prod ON prod.id = ord_det.product_id;('deliverer', 'discount', 'order', 'order_details', 'product');1.0;5;7.656437158584595;4.327962398529053
bae25369278b4bcad85cd82c4b4cbc11d92ed36dd916f7fafa4ff28c5a4204a7;SELECT count(*) FROM [order] as ord JOIN discount as dis ON dis.id = ord.discount_id JOIN order_details as ord_det ON ord_det.order_id = ord.id JOIN deliverer as del ON del.id = ord.deliverer_id JOIN product as prod ON prod.id = ord_det.product_id;('deliverer', 'discount', 'order', 'order_details', 'product');1.0;5;11.796855449676514;4.3904595375061035
6917b8f4550202006a1a1a55afe8c977b8a1003277c6976230061036f84bfca4;SELECT count(*) FROM [order] as ord JOIN discount as dis ON dis.id = ord.discount_id JOIN order_details as ord_det ON ord_det.order_id = ord.id JOIN product as prod ON prod.id = ord_det.product_id JOIN deliverer as del ON del.id = ord.deliverer_id;('deliverer', 'discount', 'order', 'order_details', 'product');1.0;5;7.8125505447387695;4.484434604644775
64ff10e346d3e29b789bc85d82fa859463bea2a8a37b2b40df5eb0f63e4ecc67;SELECT count(*) FROM [order] as ord JOIN order_details as ord_det ON ord_det.order_id = ord.id JOIN deliverer as del ON del.id = ord.deliverer_id JOIN discount as dis ON dis.id = ord.discount_id JOIN product as prod ON prod.id = ord_det.product_id;('deliverer', 'discount', 'order', 'order_details', 'product');1.0;5;12.312500715255737;4.375123500823975
6bccade2297e2de8f690501b6ff9a1f29713a7aeafdff5bd80e45d0b20495ee8;SELECT count(*) FROM [order] as ord JOIN order_details as ord_det ON ord_det.order_id = ord.id JOIN deliverer as del ON del.id = ord.deliverer_id JOIN product as prod ON prod.id = ord_det.product_id JOIN discount as dis ON dis.id = ord.discount_id;('deliverer', 'discount', 'order', 'order_details', 'product');1.0;5;13.156019687652588;4.281371831893921
563404d0bfb0583c492cdbae2dad5bbae35db25f535cf12392d86bd3dc76a744;SELECT count(*) FROM [order] as ord JOIN order_details as ord_det ON ord_det.order_id = ord.id JOIN discount as dis ON dis.id = ord.discount_id JOIN deliverer as del ON del.id = ord.deliverer_id JOIN product as prod ON prod.id = ord_det.product_id;('deliverer', 'discount', 'order', 'order_details', 'product');1.0;5;13.312487363815308;4.4217305183410645
437e4c2d51e7e51c62191387258805047064e77dc1c7bf66582985d1cf45a270;SELECT count(*) FROM [order] as ord JOIN order_details as ord_det ON ord_det.order_id = ord.id JOIN discount as dis ON dis.id = ord.discount_id JOIN product as prod ON prod.id = ord_det.product_id JOIN deliverer as del ON del.id = ord.deliverer_id;('deliverer', 'discount', 'order', 'order_details', 'product');1.0;5;9.46876049041748;4.515581130981445
3d1e2e3e207e424a566b48c408b476dccffd7f533cfee9e243c4dec4b8d6891a;SELECT count(*) FROM [order] as ord JOIN order_details as ord_det ON ord_det.order_id = ord.id JOIN product as prod ON prod.id = ord_det.product_id JOIN deliverer as del ON del.id = ord.deliverer_id JOIN discount as dis ON dis.id = ord.discount_id;('deliverer', 'discount', 'order', 'order_details', 'product');1.0;5;11.812733888626099;4.483968019485474
79d74fdc5fa3552e0e565fbae09a8df40cbf463f99af75eefd2477ef54c4286a;SELECT count(*) FROM [order] as ord JOIN order_details as ord_det ON ord_det.order_id = ord.id JOIN product as prod ON prod.id = ord_det.product_id JOIN discount as dis ON dis.id = ord.discount_id JOIN deliverer as del ON del.id = ord.deliverer_id;('deliverer', 'discount', 'order', 'order_details', 'product');1.0;5;9.859829902648926;4.343441486358643
59954f35ed2a55b018d7d4264edcba557717da37a6a7db2f7c3e23151d55a196;SELECT count(*) FROM order_details as ord_det JOIN [order] as ord ON ord.id = ord_det.order_id JOIN deliverer as del ON del.id = ord.deliverer_id JOIN discount as dis ON dis.id = ord.discount_id JOIN product as prod ON prod.id = ord_det.product_id;('deliverer', 'discount', 'order', 'order_details', 'product');1.0;5;12.359356164932251;4.343940496444702
e7c030b75ed2b37466aca55628ca987bf891ad999e8923aadb0c56a195f8b1f3;SELECT count(*) FROM order_details as ord_det JOIN [order] as ord ON ord.id = ord_det.order_id JOIN deliverer as del ON del.id = ord.deliverer_id JOIN product as prod ON prod.id = ord_det.product_id JOIN discount as dis ON dis.id = ord.discount_id;('deliverer', 'discount', 'order', 'order_details', 'product');1.0;5;14.391423463821411;4.514499187469482
f50df3272cf184e407e25d6819f905e36c6482564e0ac25ae0d24e466a3f983e;SELECT count(*) FROM order_details as ord_det JOIN [order] as ord ON ord.id = ord_det.order_id JOIN discount as dis ON dis.id = ord.discount_id JOIN deliverer as del ON del.id = ord.deliverer_id JOIN product as prod ON prod.id = ord_det.product_id;('deliverer', 'discount', 'order', 'order_details', 'product');1.0;5;14.90628695487976;4.31254506111145
8cfce48414afdc71dc2e0b1224a3a3ebebf65653924c8dd2270f3564b29dd2a7;SELECT count(*) FROM order_details as ord_det JOIN [order] as ord ON ord.id = ord_det.order_id JOIN discount as dis ON dis.id = ord.discount_id JOIN product as prod ON prod.id = ord_det.product_id JOIN deliverer as del ON del.id = ord.deliverer_id;('deliverer', 'discount', 'order', 'order_details', 'product');1.0;5;11.796630382537842;4.390650272369385
756a794a28d4cba4ae1451c673cabbf146d4f7468dd2f5f0c0040f8d9172d0d9;SELECT count(*) FROM order_details as ord_det JOIN [order] as ord ON ord.id = ord_det.order_id JOIN product as prod ON prod.id = ord_det.product_id JOIN deliverer as del ON del.id = ord.deliverer_id JOIN discount as dis ON dis.id = ord.discount_id;('deliverer', 'discount', 'order', 'order_details', 'product');1.0;5;11.984201908111572;4.375004529953003
bf6be2bbb4d30f738ac6a8049172cc327a724bb19a1a5f234d5706488027a75b;SELECT count(*) FROM order_details as ord_det JOIN [order] as ord ON ord.id = ord_det.order_id JOIN product as prod ON prod.id = ord_det.product_id JOIN discount as dis ON dis.id = ord.discount_id JOIN deliverer as del ON del.id = ord.deliverer_id;('deliverer', 'discount', 'order', 'order_details', 'product');1.0;5;10.765923738479614;4.4215967655181885
835b6c4f04c31f4e0d0ea58167b9316965e9808dcff197a53e062c8ff2179b1d;SELECT count(*) FROM order_details as ord_det JOIN product as prod ON prod.id = ord_det.product_id JOIN [order] as ord ON ord.id = ord_det.order_id JOIN deliverer as del ON del.id = ord.deliverer_id JOIN discount as dis ON dis.id = ord.discount_id;('deliverer', 'discount', 'order', 'order_details', 'product');1.0;5;11.562420845031738;4.437488317489624
6a69bfd2ad7d0bfedf2a79431ce67daf13128539b9325e43bbf99bca77efaa89;SELECT count(*) FROM order_details as ord_det JOIN product as prod ON prod.id = ord_det.product_id JOIN [order] as ord ON ord.id = ord_det.order_id JOIN discount as dis ON dis.id = ord.discount_id JOIN deliverer as del ON del.id = ord.deliverer_id;('deliverer', 'discount', 'order', 'order_details', 'product');1.0;5;9.999991178512573;4.4532365798950195
66c426178e8c5cf7c63d3c4c1c3dfb1c7b8a2daae9f851c9e40a34c4f41ae3ad;SELECT count(*) FROM product as prod JOIN order_details as ord_det ON ord_det.product_id = prod.id JOIN [order] as ord ON ord.id = ord_det.order_id JOIN deliverer as del ON del.id = ord.deliverer_id JOIN discount as dis ON dis.id = ord.discount_id;('deliverer', 'discount', 'order', 'order_details', 'product');1.0;5;9.54699969291687;4.343393802642822
4a0b6617f58ede0ac5005a4bbda2171621c241903bff3e66190cd71992f38733;SELECT count(*) FROM product as prod JOIN order_details as ord_det ON ord_det.product_id = prod.id JOIN [order] as ord ON ord.id = ord_det.order_id JOIN discount as dis ON dis.id = ord.discount_id JOIN deliverer as del ON del.id = ord.deliverer_id;('deliverer', 'discount', 'order', 'order_details', 'product');1.0;5;8.078523635864258;4.359253168106079
