customer,order,deliverer
order_details,product,order,deliverer
order_details,product,subcategory,order,deliverer,discount
order_details,customer,order,deliverer,discount
category,order_details,product,subcategory,customer,order,deliverer
order_details,product,order
order_details,customer,order
order,deliverer,discount
order_details,product,subcategory,order
order_details,product,order,discount
order_details,product,subcategory,customer,order,deliverer
order_details,customer,order,deliverer
customer,order,deliverer,discount
order_details,product,subcategory,customer,order
order_details,order,deliverer
order_details,order,discount
category,order_details,product,subcategory
order_details,product,subcategory
category,order_details,product,subcategory,order,discount
order_details,product,subcategory,customer,order,discount
order_details,product,customer,order,deliverer,discount
category,order_details,product,subcategory,order
order_details,customer,order,discount
order_details,order,deliverer,discount
category,order_details,product,subcategory,order,deliverer,discount
order_details,product,customer,order,discount
order_details,product,subcategory,order,discount
category,order_details,product,subcategory,customer,order
category,product,subcategory
order_details,product,customer,order
