hash,query,tables,ratio,nr of tables,time s,time optimizer s,order
3b08395185d65a0beedb98db1d4af9f2686151eadce4af548125e56339f07c44,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM deliverer as del
JOIN ""order"" as ord
ON ord.deliverer_id = del.id
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN discount as dis
ON dis.id = ord.discount_id
JOIN product as prod
ON prod.id = ord_det.product_id
JOIN customer as cus
ON cus.id = ord.customer_id;
COMMIT;","('customer', 'deliverer', 'discount', 'order', 'order_details', 'product')",0.757575758,6,137.4888518,103.6771376,11
ff341f917f48c351dafc3b9ef5922c48ec4d6341a874ce86a67df8e1ab2d1995,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM ""order"" as ord
JOIN deliverer as del
ON del.id = ord.deliverer_id
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN discount as dis
ON dis.id = ord.discount_id
JOIN customer as cus
ON cus.id = ord.customer_id
JOIN product as prod
ON prod.id = ord_det.product_id;
COMMIT;","('customer', 'deliverer', 'discount', 'order', 'order_details', 'product')",0.757575758,6,143.7762749,101.2614033,12
9673ee481bf779ba1530dcc6997b2ceb314120a6bad443d4da87ddaf502e2640,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM deliverer as del
JOIN ""order"" as ord
ON ord.deliverer_id = del.id
JOIN discount as dis
ON dis.id = ord.discount_id
JOIN customer as cus
ON cus.id = ord.customer_id
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN product as prod
ON prod.id = ord_det.product_id;
COMMIT;","('customer', 'deliverer', 'discount', 'order', 'order_details', 'product')",0.757575758,6,115.4703281,107.2653947,13
ce72cb7aed6eba01dfe5244695727d00ea94279728e05bf1bd7e9c9ea341877c,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM ""order"" as ord
JOIN deliverer as del
ON del.id = ord.deliverer_id
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN customer as cus
ON cus.id = ord.customer_id
JOIN discount as dis
ON dis.id = ord.discount_id
JOIN product as prod
ON prod.id = ord_det.product_id;
COMMIT;","('customer', 'deliverer', 'discount', 'order', 'order_details', 'product')",0.757575758,6,139.6231363,106.9564967,14
8ebef2a9ae18170506ee05f198c0eabaf96b56865ba42f96b5e5b81f135d02b8,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM ""order"" as ord
JOIN customer as cus
ON cus.id = ord.customer_id
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN deliverer as del
ON del.id = ord.deliverer_id
JOIN discount as dis
ON dis.id = ord.discount_id
JOIN product as prod
ON prod.id = ord_det.product_id;
COMMIT;","('customer', 'deliverer', 'discount', 'order', 'order_details', 'product')",0.757575758,6,79.3873632,105.2432957,15
ce72cb7aed6eba01dfe5244695727d00ea94279728e05bf1bd7e9c9ea341877c,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM ""order"" as ord
JOIN deliverer as del
ON del.id = ord.deliverer_id
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN customer as cus
ON cus.id = ord.customer_id
JOIN discount as dis
ON dis.id = ord.discount_id
JOIN product as prod
ON prod.id = ord_det.product_id;
COMMIT;","('customer', 'deliverer', 'discount', 'order', 'order_details', 'product')",0.757575758,6,140.7383475,102.3456438,16
e79d7238a9a2fd1297bfa3326b63beef0a65f19d029785f9404951926f1563b3,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM order_details as ord_det
JOIN ""order"" as ord
ON ord.id = ord_det.order_id
JOIN discount as dis
ON dis.id = ord.discount_id
JOIN deliverer as del
ON del.id = ord.deliverer_id
JOIN customer as cus
ON cus.id = ord.customer_id
JOIN product as prod
ON prod.id = ord_det.product_id;
COMMIT;","('customer', 'deliverer', 'discount', 'order', 'order_details', 'product')",0.757575758,6,94.78114033,105.2855172,17
3f24262aa04c6b78d736bdd9e89efae256f3339edb30b8228b22ded18005c71e,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM ""order"" as ord
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN product as prod
ON prod.id = ord_det.product_id
JOIN deliverer as del
ON del.id = ord.deliverer_id
JOIN discount as dis
ON dis.id = ord.discount_id
JOIN customer as cus
ON cus.id = ord.customer_id;
COMMIT;","('customer', 'deliverer', 'discount', 'order', 'order_details', 'product')",0.757575758,6,98.29914665,104.1006474,18
492cee559b298e7ecb3ff1a51b9a200b8b4baaa814d2c97f35599f15e1d6fe14,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM discount as dis
JOIN ""order"" as ord
ON ord.discount_id = dis.id
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN customer as cus
ON cus.id = ord.customer_id
JOIN deliverer as del
ON del.id = ord.deliverer_id
JOIN product as prod
ON prod.id = ord_det.product_id;
COMMIT;","('customer', 'deliverer', 'discount', 'order', 'order_details', 'product')",0.757575758,6,88.66296721,105.4986708,19
228dadaaf40b23e4228cea4fb67c17d40441c58c6ac48134040c375e20d6b2e4,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM order_details as ord_det
JOIN ""order"" as ord
ON ord.id = ord_det.order_id
JOIN deliverer as del
ON del.id = ord.deliverer_id
JOIN discount as dis
ON dis.id = ord.discount_id
JOIN product as prod
ON prod.id = ord_det.product_id
JOIN customer as cus
ON cus.id = ord.customer_id;
COMMIT;","('customer', 'deliverer', 'discount', 'order', 'order_details', 'product')",0.757575758,6,98.94863605,102.6691949,20
fe12b29004c4add3df675f65dc61f0d9cdd00520dcdd0dcdfbf696942f57bd3e,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM product as prod
JOIN order_details as ord_det
ON ord_det.product_id = prod.id
JOIN ""order"" as ord
ON ord.id = ord_det.order_id
JOIN discount as dis
ON dis.id = ord.discount_id
JOIN customer as cus
ON cus.id = ord.customer_id
JOIN deliverer as del
ON del.id = ord.deliverer_id;
COMMIT;","('customer', 'deliverer', 'discount', 'order', 'order_details', 'product')",0.757575758,6,92.71634507,100.9541483,21
f172004e88c3d8e59dce7f50674e66db45cc4e50bdc01fd084bef5463c26e968,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM ""order"" as ord
JOIN deliverer as del
ON del.id = ord.deliverer_id
JOIN customer as cus
ON cus.id = ord.customer_id
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN discount as dis
ON dis.id = ord.discount_id
JOIN product as prod
ON prod.id = ord_det.product_id;
COMMIT;","('customer', 'deliverer', 'discount', 'order', 'order_details', 'product')",0.757575758,6,124.4065499,102.4057643,22
fd029f0b298d0e2f732616dfbe7a656b691c6b4ceb7ffce6d0d10f0e86161838,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM discount as dis
JOIN ""order"" as ord
ON ord.discount_id = dis.id
JOIN customer as cus
ON cus.id = ord.customer_id
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN deliverer as del
ON del.id = ord.deliverer_id
JOIN product as prod
ON prod.id = ord_det.product_id;
COMMIT;","('customer', 'deliverer', 'discount', 'order', 'order_details', 'product')",0.757575758,6,76.61603069,103.574162,23
3e31e714bab72977a587edc046a101f6b1b8ecd0844ef049b7cdabb7bf9846a7,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM product as prod
JOIN order_details as ord_det
ON ord_det.product_id = prod.id
JOIN ""order"" as ord
ON ord.id = ord_det.order_id
JOIN customer as cus
ON cus.id = ord.customer_id
JOIN discount as dis
ON dis.id = ord.discount_id
JOIN deliverer as del
ON del.id = ord.deliverer_id;
COMMIT;","('customer', 'deliverer', 'discount', 'order', 'order_details', 'product')",0.757575758,6,93.57605553,103.8538766,24
3e31e714bab72977a587edc046a101f6b1b8ecd0844ef049b7cdabb7bf9846a7,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM product as prod
JOIN order_details as ord_det
ON ord_det.product_id = prod.id
JOIN ""order"" as ord
ON ord.id = ord_det.order_id
JOIN customer as cus
ON cus.id = ord.customer_id
JOIN discount as dis
ON dis.id = ord.discount_id
JOIN deliverer as del
ON del.id = ord.deliverer_id;
COMMIT;","('customer', 'deliverer', 'discount', 'order', 'order_details', 'product')",0.757575758,6,93.81827021,102.4947343,25
ce72cb7aed6eba01dfe5244695727d00ea94279728e05bf1bd7e9c9ea341877c,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM ""order"" as ord
JOIN deliverer as del
ON del.id = ord.deliverer_id
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN customer as cus
ON cus.id = ord.customer_id
JOIN discount as dis
ON dis.id = ord.discount_id
JOIN product as prod
ON prod.id = ord_det.product_id;
COMMIT;","('customer', 'deliverer', 'discount', 'order', 'order_details', 'product')",0.757575758,6,137.3500028,103.2889206,26
acec6912e46636dac601c4e905e969d40ab0e6cc8f5378be7c958e10126c8c09,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM customer as cus
JOIN ""order"" as ord
ON ord.customer_id = cus.id
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN product as prod
ON prod.id = ord_det.product_id
JOIN deliverer as del
ON del.id = ord.deliverer_id
JOIN discount as dis
ON dis.id = ord.discount_id;
COMMIT;","('customer', 'deliverer', 'discount', 'order', 'order_details', 'product')",0.757575758,6,82.34522653,103.2452211,27
